epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,34326.9,1.12414,0.55975,1.06408,0.85961,0.82808,0.8823,0.55746,0.75817,0.48837,0.94071,0.005248,0.005248,0.005248
170,34529.6,1.10703,0.55587,1.05677,0.85917,0.82722,0.8822,0.55757,0.75801,0.48894,0.94078,0.00521971,0.00521971,0.00521971
171,34732.2,1.13013,0.56567,1.05598,0.86065,0.82689,0.88227,0.55754,0.75774,0.48858,0.94066,0.00519143,0.00519143,0.00519143
172,34935.5,1.12751,0.55855,1.05264,0.85949,0.82514,0.88132,0.55783,0.75765,0.48876,0.94069,0.00516314,0.00516314,0.00516314
173,35139.7,1.11494,0.56315,1.04677,0.85941,0.82522,0.88162,0.55793,0.75755,0.48947,0.94062,0.00513486,0.00513486,0.00513486
174,35343.8,1.10006,0.55381,1.04702,0.85993,0.82692,0.88249,0.55828,0.75749,0.48907,0.94049,0.00510657,0.00510657,0.00510657
175,35546.5,1.11558,0.56,1.0516,0.86231,0.82433,0.88212,0.55795,0.7574,0.48926,0.94047,0.00507829,0.00507829,0.00507829
176,35749.3,1.11686,0.56998,1.05842,0.86064,0.82459,0.88095,0.55772,0.75714,0.48932,0.94037,0.00505,0.00505,0.00505
177,35952.4,1.11179,0.55652,1.05388,0.85994,0.82509,0.88051,0.55751,0.75703,0.48889,0.94043,0.00502171,0.00502171,0.00502171
178,36154.8,1.11573,0.55645,1.05441,0.86009,0.82363,0.87996,0.5575,0.75702,0.48907,0.94041,0.00499343,0.00499343,0.00499343
179,36358,1.10124,0.55323,1.05052,0.86069,0.82714,0.88076,0.55736,0.75684,0.48891,0.94026,0.00496514,0.00496514,0.00496514
